k,state_i,state_j,vi,nmi,ari,q_diff,q_diff_pval
10,2,5,0.1804411028174983,0.727871249229407,0.6870911207880417,-0.009027122901881679,1.0
10,2,6,0.21197116676189295,0.6789224100456117,0.5682473068357016,0.03058212800651805,1.0
10,2,7,0.25112401519677524,0.6213367680169619,0.43996886243855565,0.011639283913680076,1.0
10,2,8,0.2406303308216316,0.6562430820766704,0.45764920425945654,-0.02458006197284468,1.0
10,2,9,0.16456781613096416,0.7739278958825679,0.6908533785575921,-0.04591213037688835,1.0
10,3,4,0.1753896714491672,0.7629103360924412,0.6519765181408287,-0.012577442618194046,1.0
10,3,5,0.12448943958055687,0.8227725217219657,0.6894804743160952,0.005286121054402182,1.0
10,3,6,0.22265362148302703,0.6817149715530916,0.5455850932981969,0.04489537196280191,1.0
10,3,7,0.10878227195346529,0.8451587188743277,0.774447360201305,0.025952527869963937,1.0
10,3,8,0.1008632432048358,0.8635796514646163,0.8301090172320812,-0.01026681801656082,1.0
10,3,9,0.2236804965240152,0.7084831939415204,0.5283387321610898,-0.03159888642060449,1.0
10,4,5,0.13787940606077936,0.8020627752137128,0.732846321077838,0.017863563672596228,1.0
10,4,6,0.11593963721988881,0.8328667159057367,0.7673809042125518,0.05747281458099596,1.0
10,4,7,0.199120812419581,0.7141921015789434,0.5806543166989604,0.03852997048815798,1.0
10,4,8,0.13916701057700975,0.8102726046630727,0.7047151791178352,0.0023106246016332266,1.0
10,4,9,0.2582005499420777,0.6609106629882618,0.5403411951933792,-0.019021443802410443,1.0
10,5,6,0.1531047253086752,0.7667374288752216,0.6767786235043217,0.03960925090839973,1.0
10,5,7,0.15228824472745933,0.7690366403948926,0.6277590281511208,0.020666406815561755,1.0
10,5,8,0.1446599284454648,0.79220807216094,0.6698483242591675,-0.015552939070963001,1.0
10,5,9,0.2197151298440208,0.6965760842923625,0.5875758833955158,-0.03688500747500667,1.0
10,6,7,0.1750588316044952,0.7333352151408086,0.6697707502208133,-0.018942844092837974,1.0
10,6,8,0.21406470267442299,0.6912339972980445,0.5473908715142608,-0.05516218997936273,1.0
10,6,9,0.23528619315869276,0.6737725338901903,0.5483988510912021,-0.0764942583834064,1.0
