k,state,mean_pc,std_pc,mean_z,std_z,n_hubs,n_connectors,n_significant_pc
10,6,0.24263178227482535,0.18909327631224743,7.206710861601894e-17,1.0,0,1,105
10,7,0.23264042525813847,0.19127030582388627,-2.2009684523270647e-16,1.0,0,0,110
10,8,0.23158077079428507,0.2101665743223211,6.817158923136926e-18,1.0,0,5,104
10,9,0.2365146803749581,0.2124747603334405,9.933574430856664e-17,1.0,0,7,105
11,0,0.2529382151225333,0.1904907619841219,2.337311630789803e-17,1.0,0,2,108
11,1,0.23238745266000593,0.2124692136619529,-2.7268635692547703e-17,0.9999999999999999,0,2,101
11,2,0.27191717210033534,0.19337323225140435,-1.7529837230923523e-17,0.9999999999999999,0,3,109
11,3,0.2898514145947976,0.21059664922811466,-9.544022492391697e-17,1.0,0,3,110
11,4,0.24244856688681643,0.20196913112114379,1.6848121338609832e-16,1.0,0,3,111
11,5,0.18910900158893898,0.20026678724494099,-1.5776853507831172e-16,1.0,0,2,102
11,6,0.2484049359646673,0.20403900161740873,-1.7042897307842316e-17,0.9999999999999999,0,2,102
11,7,0.2582124260699489,0.21703864575858095,4.0902953538821554e-17,1.0,0,6,102
11,8,0.2551090529775503,0.22142470375256723,6.719770938520684e-17,1.0,0,4,103
11,9,0.27180470835711656,0.20591096708755577,-1.0469208346245994e-17,1.0,0,4,107
11,10,0.24608296281968578,0.2099603446425676,1.2222192069338346e-16,1.0,0,4,104
12,0,0.2447927644690647,0.20898681791144916,-1.3196071915500764e-16,0.9999999999999999,0,3,101
12,1,0.30046790973270787,0.19504086462107573,6.232831015439475e-17,1.0,0,5,111
12,2,0.22417111676826737,0.20751612473653236,5.697197100050146e-17,0.9999999999999999,0,2,106
12,3,0.2600648384600253,0.20796795184618158,3.554661438492826e-17,0.9999999999999999,0,4,109
12,4,0.27604192196266203,0.21813785244562944,-3.5290970925310625e-16,1.0,0,7,103
12,5,0.237361048384871,0.20639448027991134,9.73879846162418e-18,1.0,0,1,104
12,6,0.2878789517130581,0.21160393743713196,-9.71445146547012e-17,1.0,0,5,105
12,7,0.22580534475161532,0.20750315642878314,4.86939923081209e-19,1.0,0,4,109
12,8,0.2706443858778177,0.1927294282455642,-2.0646252738643262e-16,1.0,0,4,107
12,9,0.2872805915251716,0.2109731122906803,-8.66753063084552e-17,1.0,0,5,105
12,10,0.2262609315009312,0.17929180682887264,5.843279076974508e-18,0.9999999999999999,0,1,109
12,11,0.24934504365625643,0.19726462529749614,9.15447055392673e-17,0.9999999999999999,0,3,111
13,0,0.2125931088345152,0.19691698758286685,2.2496624446351855e-16,1.0,0,0,110
13,1,0.211906809827907,0.20253225748213935,8.424060669304916e-17,1.0,0,2,106
13,2,0.30049418845017745,0.18485710636741332,1.890544251362794e-16,1.0,0,3,110
13,3,0.22601907871725357,0.20109341642427653,-3.311191476952221e-17,0.9999999999999999,0,1,105
13,4,0.3414813103968404,0.18520951149530718,-4.747664250041788e-18,1.0,0,3,112
13,5,0.29821643228048356,0.20876084408319243,-1.129700621548405e-16,1.0,0,3,108
13,6,0.270118235457062,0.19495667525394725,-1.4437768719357848e-16,1.0,0,5,107
13,7,0.19312222075626556,0.20399356676618385,1.8990657000167152e-17,1.0,0,1,101
13,8,0.2471818879386799,0.20812746304875418,6.330219000055717e-17,0.9999999999999999,0,2,106
13,9,0.2529975902541209,0.19612805044418352,-2.337311630789803e-17,1.0,0,3,108
13,10,0.2586995868908543,0.19167087893093632,1.1686558153949016e-16,1.0,0,1,111
13,11,0.2432887944076941,0.21330701854083947,-6.232831015439475e-17,0.9999999999999999,0,3,101
13,12,0.24583318073354513,0.21487635325078025,-3.019027523103496e-17,1.0,0,4,104
14,0,0.26689626461374044,0.19759446235711028,1.947759692324836e-17,1.0,0,2,113
14,1,0.21695732452574118,0.19912432259340004,1.2270886061646468e-16,0.9999999999999999,0,2,104
14,2,0.29951791316336446,0.20012986843032196,-1.509513761551748e-17,1.0,0,9,110
14,3,0.24321153304174678,0.20356000612665992,-2.0256700800178294e-16,1.0,0,3,108
14,4,0.27335907638834134,0.2176474115122765,2.824251553871012e-16,1.0,0,2,108
14,5,0.2218080329985272,0.1969600938977356,2.337311630789803e-17,1.0,0,2,106
14,6,0.2144757123925627,0.21571762878011377,-2.0841028707875746e-16,0.9999999999999999,0,4,105
14,7,0.24783112410724312,0.2005202864716771,1.8990657000167152e-17,1.0,0,4,107
