k,state,Q_total,Q_pvalue,Q_z_score,n_modules,n_sig_uncorrected,n_sig_fdr_0.05,n_sig_fdr_0.01,n_sig_fdr_0.001,n_sig_bonferroni_0.05
12,0,0.6070288328265546,0.009900990099009901,41.30801976566378,6,6,6,6,0,0
12,1,0.6290630703754769,0.009900990099009901,45.50957142193939,7,7,7,7,0,0
12,2,0.6595838948858035,0.009900990099009901,39.12813330601699,6,6,6,6,0,0
12,3,0.6451047347521115,0.009900990099009901,49.02455330324638,6,6,6,6,0,0
12,4,0.6375519823831887,0.009900990099009901,42.102907096721815,7,7,7,7,0,0
12,5,0.6163098609454511,0.009900990099009901,40.98697172124033,5,5,5,5,0,5
12,6,0.6075731853512204,0.009900990099009901,40.76530915567888,6,6,6,6,0,0
12,7,0.6589637336459272,0.009900990099009901,47.80848378438423,6,6,6,6,0,0
12,8,0.6453565253266227,0.009900990099009901,40.6717686374789,7,7,7,7,0,0
12,9,0.639995464589201,0.009900990099009901,44.51548064849925,7,7,7,7,0,0
12,10,0.6305535431399723,0.009900990099009901,42.827343619105925,5,5,5,5,0,5
12,11,0.6415930537406132,0.009900990099009901,46.24327675735829,6,6,6,6,0,0
13,0,0.6728867052816501,0.009900990099009901,34.998457660879815,6,6,6,6,0,0
13,1,0.6234112616018166,0.009900990099009901,36.372034279481895,5,5,5,5,0,5
13,2,0.5880753225489495,0.009900990099009901,39.91868547702303,6,6,6,6,0,0
13,3,0.6384647233157467,0.009900990099009901,37.693761319318874,5,5,5,5,0,5
13,4,0.5833405129399163,0.009900990099009901,43.34600110430119,6,6,6,6,0,0
13,5,0.5839184035131288,0.009900990099009901,38.39545495874866,6,6,6,6,0,0
13,6,0.6179896744314732,0.009900990099009901,38.22277016153222,6,6,6,6,0,0
13,7,0.6443905890759861,0.009900990099009901,35.81635631127414,5,5,5,5,0,5
13,8,0.6700908434055054,0.009900990099009901,44.186829255851,7,7,7,7,0,0
13,9,0.6427728643253244,0.009900990099009901,44.32316801805048,6,6,6,6,0,0
13,10,0.6647111213389176,0.009900990099009901,48.56178716670352,7,7,7,7,0,0
13,11,0.6280351441605997,0.009900990099009901,41.31043618363613,6,6,6,6,0,0
13,12,0.6200525800617752,0.009900990099009901,39.74744208958517,5,5,5,5,0,5
14,0,0.6391335048880928,0.009900990099009901,39.67719861189918,7,7,7,7,0,0
14,1,0.6162544992594403,0.009900990099009901,38.52366039932115,5,5,5,5,0,5
14,2,0.6383612525215258,0.009900990099009901,41.91879774936709,7,7,7,7,0,0
14,3,0.6417784919583128,0.009900990099009901,44.46001378408104,6,6,6,6,0,0
14,4,0.6278786907234363,0.009900990099009901,42.37675797875024,6,6,6,6,0,0
14,5,0.6644829903314633,0.009900990099009901,45.96505534456986,6,6,6,6,0,0
14,6,0.6670559329009867,0.009900990099009901,44.39973393661019,6,6,6,6,0,0
14,7,0.642189567765731,0.009900990099009901,44.15085429710191,6,6,6,6,0,0
14,8,0.6170475832074718,0.009900990099009901,42.91153513514178,6,6,6,6,0,0
14,9,0.6282937929958318,0.009900990099009901,44.01951249812456,6,6,6,6,0,0
14,10,0.6399340329009124,0.009900990099009901,46.32233858761428,6,6,6,6,0,0
14,11,0.5861867344930665,0.009900990099009901,35.59397266255497,5,5,5,5,0,5
14,12,0.6064315877087217,0.009900990099009901,39.289548455041825,5,5,5,5,0,5
14,13,0.5949804457738436,0.009900990099009901,33.22507483259917,5,5,5,5,0,5
