k,state,Q_total,Q_z_score,n_modules,n_significant_modules,percent_significant,interpretation,analysis_time_seconds
9,4,0.6026966906638832,19.380724649523216,5,5,100.0,HIGHLY SIGNIFICANT,258.3163468837738
9,5,0.5882916331323346,18.715643990316046,7,7,100.0,HIGHLY SIGNIFICANT,257.3659780025482
9,6,0.6487355057932668,19.721956610738513,6,6,100.0,HIGHLY SIGNIFICANT,1535.3036668300629
9,7,0.6540597181609411,17.94678342883186,6,6,100.0,HIGHLY SIGNIFICANT,809.7780289649963
9,8,0.6703134797613528,17.257396539705848,7,7,100.0,HIGHLY SIGNIFICANT,256.26533102989197
10,0,0.6559556695081583,18.3129059421714,6,6,100.0,HIGHLY SIGNIFICANT,255.64086723327637
10,1,0.6023044287510813,17.795682189564094,6,6,100.0,HIGHLY SIGNIFICANT,257.8235580921173
10,2,0.6281810460399393,20.151282783310286,5,5,100.0,HIGHLY SIGNIFICANT,256.27714800834656
10,3,0.6424942899962232,19.901419028752077,6,6,100.0,HIGHLY SIGNIFICANT,260.7766079902649
10,4,0.6550717326144172,19.648619921778465,6,6,100.0,HIGHLY SIGNIFICANT,266.72505402565
10,5,0.6560792155363894,18.176883163033036,6,6,100.0,HIGHLY SIGNIFICANT,265.9968008995056
10,6,0.5975989180334212,18.217711409146887,5,5,100.0,HIGHLY SIGNIFICANT,260.69330286979675
10,7,0.6165417621262592,20.204369996703512,5,5,100.0,HIGHLY SIGNIFICANT,258.1278522014618
10,8,0.6355505604794406,19.02041696458985,5,5,100.0,HIGHLY SIGNIFICANT,839.0936279296875
10,9,0.6740931764168276,17.233788633405805,7,7,100.0,HIGHLY SIGNIFICANT,1050.7270891666412
11,0,0.6391662987854009,19.412170465158592,6,6,100.0,HIGHLY SIGNIFICANT,257.52846121788025
11,1,0.6498584814409224,17.809372650570136,6,6,100.0,HIGHLY SIGNIFICANT,255.78620529174805
11,2,0.5828368423719681,20.17892215317689,5,5,100.0,HIGHLY SIGNIFICANT,268.1811079978943
11,3,0.6325128546747394,19.922124502662275,6,6,100.0,HIGHLY SIGNIFICANT,263.42820477485657
11,4,0.6489954800359395,19.514532273028994,6,6,100.0,HIGHLY SIGNIFICANT,265.0365960597992
11,5,0.666123341582941,18.4666978622247,6,6,100.0,HIGHLY SIGNIFICANT,261.35040807724
11,6,0.6524361789932728,18.05835748944588,6,6,100.0,HIGHLY SIGNIFICANT,259.4400050640106
11,7,0.618416537799796,16.420387468386778,6,6,100.0,HIGHLY SIGNIFICANT,256.27490997314453
11,8,0.6442103504814649,17.813156997098407,6,6,100.0,HIGHLY SIGNIFICANT,260.27671217918396
11,9,0.6204103670560994,18.8144851994309,6,6,100.0,HIGHLY SIGNIFICANT,257.5056028366089
11,10,0.5699929186883065,21.963360029134062,4,4,100.0,HIGHLY SIGNIFICANT,262.5983831882477
12,0,0.6118976116294256,17.890167243220663,7,7,100.0,HIGHLY SIGNIFICANT,344.79113698005676
12,1,0.6290630703754769,18.67510995862433,7,7,100.0,HIGHLY SIGNIFICANT,5574.044848203659
12,2,0.6595838948858035,18.081653366613107,6,6,100.0,HIGHLY SIGNIFICANT,788.2509517669678
12,3,0.6441343523079107,19.38731268406941,6,6,100.0,HIGHLY SIGNIFICANT,266.43396186828613
12,4,0.6375519823831887,17.083478558388297,7,7,100.0,HIGHLY SIGNIFICANT,269.0281779766083
12,5,0.6163098609454511,19.827330256952244,5,5,100.0,HIGHLY SIGNIFICANT,261.97269082069397
12,6,0.616668393588085,18.448341433299564,7,7,100.0,HIGHLY SIGNIFICANT,256.1247229576111
12,7,0.6589637336459272,19.788968143952612,6,6,100.0,HIGHLY SIGNIFICANT,259.12028884887695
12,8,0.6453565253266227,16.603531247958898,7,7,100.0,HIGHLY SIGNIFICANT,258.1497769355774
12,9,0.639995464589201,17.129185822356916,7,7,100.0,HIGHLY SIGNIFICANT,256.8055610656738
12,10,0.6305535431399723,20.459592446984153,5,5,100.0,HIGHLY SIGNIFICANT,259.2443120479584
12,11,0.6415930537406132,19.939200135180005,6,6,100.0,HIGHLY SIGNIFICANT,261.2543947696686
13,0,0.666201721504988,18.396021868110694,6,6,100.0,HIGHLY SIGNIFICANT,256.0430579185486
13,1,0.6234112616018166,20.287378157252498,5,5,100.0,HIGHLY SIGNIFICANT,258.976619720459
13,2,0.5880753225489495,19.63315089758009,6,6,100.0,HIGHLY SIGNIFICANT,259.9247980117798
13,3,0.6384647233157467,20.92066031785861,5,5,100.0,HIGHLY SIGNIFICANT,265.2825150489807
13,4,0.5767291393914784,20.589217960437985,5,5,100.0,HIGHLY SIGNIFICANT,271.8240342140198
13,5,0.5839184035131288,16.943065545872198,6,6,100.0,HIGHLY SIGNIFICANT,264.7109708786011
13,6,0.6179896744314732,18.634001959434332,6,6,100.0,HIGHLY SIGNIFICANT,259.23089385032654
13,7,0.6443905890759861,19.002551310855473,5,5,100.0,HIGHLY SIGNIFICANT,256.38667917251587
13,8,0.6700908434055054,18.18839682721507,7,7,100.0,HIGHLY SIGNIFICANT,256.8121340274811
13,9,0.6427728643253244,19.4876576067625,6,6,100.0,HIGHLY SIGNIFICANT,257.84589886665344
13,10,0.6647111213389176,19.325352128513025,7,7,100.0,HIGHLY SIGNIFICANT,256.3395767211914
13,11,0.6271865428518286,17.59064070918801,6,6,100.0,HIGHLY SIGNIFICANT,256.3988392353058
13,12,0.6184537938685386,20.182106289807503,5,5,100.0,HIGHLY SIGNIFICANT,257.0357849597931
14,0,0.6391335048880928,18.087010868085848,7,7,100.0,HIGHLY SIGNIFICANT,257.53466796875
14,1,0.6418435082251204,20.33657264621537,6,6,100.0,HIGHLY SIGNIFICANT,263.45585894584656
14,2,0.6383612525215258,18.82575311476702,7,7,100.0,HIGHLY SIGNIFICANT,263.42255902290344
14,3,0.6380582901509698,19.935463156044186,6,6,100.0,HIGHLY SIGNIFICANT,267.0370168685913
14,4,0.6278786907234363,19.91881125917176,6,6,100.0,HIGHLY SIGNIFICANT,274.27847385406494
14,5,0.6662123343498392,17.854744739592192,6,6,100.0,HIGHLY SIGNIFICANT,274.99805331230164
14,6,0.6670559329009867,17.66272831954007,6,6,100.0,HIGHLY SIGNIFICANT,269.7829329967499
14,7,0.642189567765731,19.458758894836453,6,6,100.0,HIGHLY SIGNIFICANT,258.5675871372223
14,8,0.6183846169008601,18.884604984378665,6,6,100.0,HIGHLY SIGNIFICANT,253.63367986679077
14,9,0.6282937929958318,19.72879261889651,6,6,100.0,HIGHLY SIGNIFICANT,253.05756282806396
14,10,0.6399340329009124,19.487511349933904,6,6,100.0,HIGHLY SIGNIFICANT,254.1435239315033
14,11,0.5861867344930665,18.877064201031658,5,5,100.0,HIGHLY SIGNIFICANT,260.7687690258026
14,12,0.6064315877087217,19.717102446070786,5,5,100.0,HIGHLY SIGNIFICANT,258.3054642677307
14,13,0.590111085087597,20.05941331718426,4,4,100.0,HIGHLY SIGNIFICANT,255.8902530670166
